case_id,trigger,amount,channel,product,risk_score,card_id,hist_txns,amt_pctile,new_region,new_product,id_15,proxy,prior_fraud,prior_cleared
HHG-001,risk_score,77.07,in_person,W,0.61,C12382-K1,358,0.455,False,False,,,4,0
HHG-002,risk_score,292.36,online,C,0.79,C11891-K1,35,1.0,False,False,,,1,0
HHG-003,customer_report,49.0,in_person,W,0.4,C08623-K2,980,0.284,False,False,,,5,1
HHG-004,customer_report,128.33,online,C,0.34,C08106-K1,209,0.99,False,False,New,,3,1
HHG-005,risk_score,100.07,online,R,0.54,C02923-K1,90,0.233,False,False,New,,3,0
HHG-006,customer_report,482.12,online,C,0.25,C07297-K1,101,0.97,False,False,New,,0,0
HHG-007,risk_score,111.92,in_person,W,0.87,C09933-K2,2431,0.708,False,False,,,18,1
HHG-008,customer_report,55.68,online,C,0.38,C13171-K2,899,0.681,False,False,Found,,18,1
HHG-009,customer_report,30.02,online,S,0.28,C08299-K1,46,0.304,False,False,Found,,0,0
HHG-010,risk_score,1000.03,online,R,0.9,C10434-K1,33,1.0,False,False,New,,0,1
HHG-011,customer_report,131.3,online,C,0.39,C11923-K2,10306,0.967,False,False,New,,10,1
HHG-012,risk_score,30.91,in_person,W,0.55,C05876-K2,910,0.249,False,False,,,1,1
HHG-013,risk_score,35.66,online,C,0.76,C07671-K2,1431,0.147,False,False,New,,3,1
HHG-014,analyst_request,74.96,online,C,0.05,C13487-K1,71,0.789,False,False,New,IP_PROXY:ANONYMOUS,0,0
HHG-015,risk_score,599.94,online,R,0.77,C03042-K1,68,1.0,True,False,New,,2,1
HHG-016,customer_report,59.67,online,C,0.37,C09988-K1,48,0.75,False,False,New,,0,0
HHG-017,risk_score,100.09,online,R,0.57,C04570-K1,52,0.212,False,False,Found,IP_PROXY:HIDDEN,0,1
HHG-018,customer_report,39.08,in_person,W,0.48,C02354-K2,5860,0.177,False,False,,,19,1
HHG-019,risk_score,99.92,online,R,0.9,C07987-K2,219,0.402,False,False,New,,3,1
HHG-020,risk_score,125.08,online,R,0.52,C12265-K2,82,0.585,False,True,New,,2,0
